country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","20-05-2025 21:00:00",22.49929,88.36917,PM10,32,70,48
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","20-05-2025 21:00:00",22.49929,88.36917,NO2,16,54,23
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","20-05-2025 21:00:00",22.49929,88.36917,OZONE,2,20,11
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","20-05-2025 21:00:00",22.627847,88.380669,PM2.5,18,46,29
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","20-05-2025 21:00:00",22.627847,88.380669,PM10,14,50,28
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","20-05-2025 21:00:00",22.627847,88.380669,CO,21,27,25
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","20-05-2025 21:00:00",22.51106,88.35142,NO2,28,61,44
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","20-05-2025 21:00:00",22.51106,88.35142,NH3,4,5,5
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","20-05-2025 21:00:00",22.51106,88.35142,OZONE,12,32,24
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","20-05-2025 21:00:00",22.5448082,88.3403691,PM2.5,16,31,20
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","20-05-2025 21:00:00",22.5448082,88.3403691,NO2,24,30,26
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","20-05-2025 21:00:00",26.6879226,88.4152495,OZONE,21,24,23
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-05-2025 21:00:00",16.5150833,80.5181667,PM2.5,5,23,12
