City Name,Zone Name,Name of heritage,Nature of heritage,Heritage use,Age of heritage (in Years),source_file,Age of heritage (in Years  ),Latitude,Longitude
Thane,Kopri,Konark,Bunglow,Residential,,CulturalHeritage_Thane.csv,94.0,19.1943294,72.9701779
Thane,Kopri,Devgiri,Bunglow,Residential,,CulturalHeritage_Thane.csv,94.0,19.1943294,72.9701779
Thane,Kopri,Panchganga,Bunglow,Residential,,CulturalHeritage_Thane.csv,94.0,19.1943294,72.9701779
Thane,Kopri,Kiran,Bunglow,Residential,,CulturalHeritage_Thane.csv,94.0,19.1943294,72.9701779
Thane,Kopri,Thane Gymkhana- The Officers Club,Club House,Residential,,CulturalHeritage_Thane.csv,83.0,19.1943294,72.9701779
Thane,Kalwa,Kalwa Bridge,Bridge,Vehicular Bridge,,CulturalHeritage_Thane.csv,118.0,19.1943294,72.9701779
Thane,Thane,Masunda lake,Lake,Lake and refreshnal Purose,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Thane,Castle Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Thane,Kacharali Lake,Lake,Lake and Garden,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Thane,Siddeshwar Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Thane,Makhmali Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Thane,Ghosali Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Thane,Bramhala Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Rabodi,Ambe Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Wagale Estate,Rataladevi Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Kopri,Harel Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Uthalsar,Jogila Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Pokhran,Upvan lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Kolbad,Kolbad Lake,Lake,Lake,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Ghodbandar Road,Ulhas River Creek,River and part creek,River and part creek,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Yeoor,Yeoor Hills,Hill,Hill,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
Thane,Parsik Mumbra,ParsiK Hills,Hill,Hill,,CulturalHeritage_Thane.csv,,19.1943294,72.9701779
SALEM,HASTHAMPATTY,TEMPLE,SRI SUGAVANESWARAN TEMPLE,TEMPLE,300,Cultural_Salem.csv,,11.6469616,78.2106958
SALEM,HASTHAMPATTY,TEMPLE,KOTTAI ALAGIRINATHAR TEMPLE,TEMPLE,150,Cultural_Salem.csv,,11.6469616,78.2106958
SALEM,HASTHAMPATTY,TEMPLE,KOTTAI MARIAMMAN TEMPLE,TEMPLE,140,Cultural_Salem.csv,,11.6469616,78.2106958
Sagar,Sagar,Sagar Fort,Sagar Fort,Tourism,110,Cultural_Sagar.csv,,23.8083076,78.758254
Sagar,Sagar,Lakha Banjara ,Lake,Tourism,90,Cultural_Sagar.csv,,23.8083076,78.758254
Sagar,Sagar,Moti Mashsid,Mosque,Religious,100,Cultural_Sagar.csv,,23.8083076,78.758254
Sagar,Sagar,Rahatgarh Fort,Fort,Tourism,150,Cultural_Sagar.csv,,23.8083076,78.758254
Sagar,Sagar,Teen Batti,Street,Public Place,80,Cultural_Sagar.csv,,23.8083076,78.758254
