City Name,Zone Name,Name of heritage,Nature of heritage,Heritage use,Age of heritage (in Years),source_file,Age of heritage (in Years  ),Latitude,Longitude
Thanjavur,Thanjavur,Old District Collectorate museum,Monuments,Tourist Visit,More than 800years,Cultural_Thanjavur.csv,,10.659037,79.2014278
Hubli,,Chandramouleshwar temple,monument,Temple,900,Cultural_dharwad.csv,,15.3518378,75.1379848
Hubli,,banashankari temple ,monument,temple,900,Cultural_dharwad.csv,,15.3518378,75.1379848
Hubli,,Someshwar temple,monument,temple,1000,Cultural_dharwad.csv,,15.3518378,75.1379848
Hubli,,Amruteshwar temple,monument,temple,1100,Cultural_dharwad.csv,,15.3518378,75.1379848
Gwalior,All Zone,Gwalior Fort,"Monuments , Open space",Monuments for Public Visiting,525.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Hathi Pol,"Monuments , Open space",Monuments for Public Visiting,525.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Tomb of Tansen,"Monuments , Open space",Monuments for Public Visiting,500.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Gujari Mahal,"Monuments , Open space",Monuments for Public Visiting,500.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Dev Kho,"Monuments , Open space",Monuments for Public Visiting,300.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Jai Vilas Mahal,"Monuments , Open space",Monuments for Public Visiting,150.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Teli Ka Mandir,Monuments,Monuments for Public Visiting,1300.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Gopachal Parvat,"Monuments , Open space",Monuments for Public Visiting,1300.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Sasbahu Ka Mandir,Monuments,Monuments for Public Visiting,500.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Man Singh Palace,"Monuments , Open space",Monuments for Public Visiting,525.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Sarod Ghar,"Monuments , Open space",Monuments for Public Visiting,,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Jai Vilace Palce,"Monuments , Open space",Monuments for Public Visiting,150.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Gwalior,All Zone,Assi Khamba Ki Baori,Monuments,Monuments for Public Visiting,1300.0,Cultural_Gwalior.csv,,26.2037247,78.1573628
Saharanpur,NORTH,,,,,Cultural_Saharanpur.csv,,29.9856799,77.5040646
Saharanpur,SOUTH,,,,,Cultural_Saharanpur.csv,,29.9856799,77.5040646
Saharanpur,EAST,,,,,Cultural_Saharanpur.csv,,29.9856799,77.5040646
Saharanpur,WEST,Church,St. Thomas Anglican Church,worship,1822.0,Cultural_Saharanpur.csv,,29.9856799,77.5040646
Davanagere,,SRI DURGAMBHIKA TEMPLE,Monuments,Worship,200,Cultural_Davanagere.csv,,14.2558835,75.8303421
PUDUCHERRY,PUDUCHERRY,"Old Administrative building, Dumas Street",Office building,Office building,late 18th century,Cultural_Puducherry.csv,,10.9156489,79.8069488
